Carrier,Product,NSPA,TX,OK,PA,WI,OHM,OH-FR,AZ,MO,WV,TN,IA,KS-M,KS-B,TX-M,AR,IN-M,IN-MD,IL-M,IL-MD,Rule Type,Error or Warning,Rule to Enact,Error or Warning Message to Display,"Run in Quote, Application?","Unacceptable Driver/
Unacceptable Vehicle Indicators",Comments/Changes
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,"The total number of Drivers and Non-Drivers where Marital Status = Married must be an even number (i.e. multiple of 2). If it is not, display error message and stop the user so they must fix the data.",The number of married drivers must be an even number.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,"If Broad Form = No,
The total number of Drivers and Non-Drivers where Marital Status = Married must be an even number (i.e. multiple of 2). If it is not, display error message and stop the user so they must fix the data.",The number of married drivers must be an even number.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,"MN 12/13/22: For IA, this rule only applies on Non-Broad Form policies."
PRIS,NSPA,X,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,"The total number of Drivers and Non-Drivers where Marital Status =  Domestic Partnership must be an even number (i.e. multiple of 2). If it is not, display error message and stop the user so they must fix the data.
",The number of drivers who are in a domestic partnership must be an even number.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,
PRIS,NSPA,X,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,If Number of Drivers > 1,Only one principal is allowed for this program. ,"Quote
Application
New Business
Rewrite-New
Endorsement
Renewal Start
Renewal Change
Rewrite Renewal",,MN 11/30/22: New rule for OH-FR SJS 5.23.23 PRISUAT-1584
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,If Broad Form = Yes and Number of Drivers > 1,Only one driver is allowed with the Broad Form Named Driver Endorsement. ,"Quote
Application
New Business
Rewrite-New
Endorsement
Renewal Start
Renewal Change
Rewrite Renewal",,MN 11/30/22: New rule for IA Maverick
PRIS,NSPA,X,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,"If Non-Driver Relationship to Insured <> Husband, Wife, or Spouse",Non-Drivers are not allowed for this program.,"Quote
Application
New Business
Rewrite-New
Endorsement
Renewal Start
Renewal Change
Rewrite Renewal",,MN 12/1/22: New rule for OH-FR SJS 5.23.23 PRISUAT-1584
PRIS,NSPA,X,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,If the Named Insured is listed as Married then one Driver or Non-driver must be listed as Husband or Wife or Spouse. ,A married insured is required to list their spouse.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,"If Broad Form = No,
If the Named Insured is listed as Married then one Driver or Non-driver must be listed as Husband or Wife or Spouse. ",A married insured is required to list their spouse.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,"MN 12/13/22: For IA, this rule only applies on Non-Broad Form policies."
PRIS,NSPA,X,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,If the Named Insured is listed with a marital status of Domestic Partnership then one Driver or Non-driver must be listed as Domestic Partner.,An insured in a domestic partnership is required to list their partner.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,
PRIS,NSPA,X,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,If the Named Insured is listed as Single then a Driver or Non-Driver cannot be listed as Husband or Wife or Spouse. ,"“<Insured Name> is listed as Single, but <Driver Name> is listed as <Husband/Wife/Spouse>. Please correct.”","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"LS 01/21/25:Remove ""please correct"""
PRIS,NSPA,X,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,If the Named Insured is listed as Single then a Driver or Non-Driver cannot be listed as Husband or Wife or Spouse or Domestic Partner. ,"“<Insured Name> is listed as Single, but <Driver Name> is listed as <Husband/Wife/Spouse/DomesticPartner>. Please correct.”","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"LS 01/21/25:Remove ""please correct"""
PRIS,NSPA,X,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error,"If the answer to the first Underwriting Question ""Does the applicant reside outside of [the Policy State] for more than one month per year?"" = Yes, error.",Risks who routinely reside and/or travel outside of the Policy State are not eligible for coverage.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 7/17/2023 - Remove for MO Maverick - different question
SJS 9.8.23 PRISUAT-1783
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,"If the answer to the first Underwriting Question ""Does the applicant, any scheduled driver, and/or any insured vehicle travel and/or reside outside of the policy state for more than one month per year?"" = Yes, error.",Risks who routinely reside and/or travel outside of the Policy State are not eligible for coverage.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,JAO 4/27/2023 - Added for OH Maverick SJS 5.23.23 PRISUAT-1585
PRIS,NSPA,X,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,"If the answer to the first Underwriting Question ""Does the Applicant/Principal travel and/or reside outside of the policy state the state of Ohio more than one month per year?"" = Yes, error.",Risks who routinely reside and/or travel outside of the Policy State are not eligible for coverage.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,MN 11/30/22: New rule for OH-FR SJS 5.23.23 PRISUAT-1584
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error,"If UW Question <OutOfState> = YES, trigger error",Risks who routinely reside and/or travel outside of the Policy State are not eligible for coverage.,"Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 7/18/2023 - Add for MO Maverick and future states to use UW Question Name/Description as Rule to Enact instead of full UW Question
SJS 9.8.23 PRISUAT-1783
LE 11/21/2023- AZ requirements PRISUAT-1834
LE 6/11/2025- Added TN GW-3771"
PRIS,NSPA,X,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error   ,"If the answer to the Underwriting Question 'Is any vehicle used for business?' = Yes and Vehicle Use is not
-Business
-Business with TNC
-Business with Delivery, or 
-Business with TNC and Delivery","If ' Is any vehicle used for business? ' is Yes, at least one vehicle must have Business Use Coverage.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 4/27/2023 - Remove for OH-FR - vehicle use is not captured in the same area SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/06/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771
"
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error   ,"If UW Question <BusinessVehicle> = YES, and
Vehicle Use <>
- Business
- Business with TNC
- Business with Delivery, or
- Business with TNC and Delivery","If the Business Use question is YES, the Vehicle Use for at least one vehicle must include Business.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 7/18/2023 - Add for MO Maverick and future states to use UW Question Name/Description as Rule to Enact instead of full UW Question
SJS 9.8.23 PRISUAT-1783
LE 11/21/2023- AZ requirements PRISUAT-1834
JAO 2/15/2024 - AZ Changed to NO; Question is now a Vehicle/Risk Question - PRISUAT-1834
LE 9/06/2024- Remove for WV GW-1622"
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error   ,"If UW Question <BusinessVehicle> = NO, and
Vehicle Use =
- Business
- Business with TNC
- Business with Delivery, or
- Business with TNC and Delivery","If the Business Use question is NO, the Vehicle Use cannot include Business.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 7/18/2023 - Add for MO Maverick and future states to use UW Question Name/Description as Rule to Enact instead of full UW Question
SJS 9.8.23 PRISUAT-1783
LE 11/21/2023- AZ requirements PRISUAT-1834
JAO 2/15/2024 - AZ Changed to NO; Question is now a Vehicle/Risk Question - PRISUAT-1834
LE 9/06/2024- Remove for WV GW-1622"
PRIS,NSPA,X,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES, ,YES,YES,YES,YES,YES,YES,Validation,Error   ,"If the answer to the Underwriting Question 'Does any vehicle have special equipment i.e. special paint, sound system or other customizations?' = No and Special Equipment coverage has been added to at least one vehicle.","If the Special Equipment Coverage is included, the Underwriting Question 'Does any vehicle have special equipment i.e. special paint, sound system or other customizations?' must be YES.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error   ,"If UW Question <SpecialEquipment> = NO, and
Special Equipment is included on 1+ vehicle, trigger error","If Special Equipment Coverage is included, the Special Equipment question must be YES.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 7/18/2023 - Add for MO Maverick and future states to use UW Question Name/Description as Rule to Enact instead of full UW Question
SJS 9.8.23 PRISUAT-1783
LE 11/21/2023- AZ requirements PRISUAT-1834
JAO 2/15/2024 - AZ Changed to NO; Question is now a Vehicle/Risk Question - PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
"
PRIS,NSPA,X,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error   ,"If the answer to the Underwriting Question 'Is any vehicle used as a public or livery conveyance, including any use of the vehicle in conjunction with any transportation network applications or companies (TNC) or as they are sometimes also known as rideshare applications or companies, pertaining exclusively to the transportation of individuals for a fee?' = Yes and at least one vehicle doesn't have Transportation Network Company Endorsement.","If 'Is any vehicle used as a public or livery conveyance, including any use of the vehicle in conjunction with any transportation network applications or companies (TNC) or as they are sometimes also known as rideshare applications or companies, pertaining exclusively to the transportation of individuals for a fee?' is Yes, at least one vehicle must include TNC coverage.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 4/27/2023 - Remove for OH-FR - UW question doesn't exist SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error,"If the answer to the Underwriting Question 'Is any vehicle used as a public or livery conveyance, including any use of the vehicle in conjunction with any transportation network applications or companies (TNC) or as they are sometimes also known as rideshare applications or companies, pertaining exclusively to the transportation of individuals for a fee?' = No and at least one vehicle HAS Transportation Network Company Endorsement.","If TNC Coverage is included, the answer to 'Is any vehicle used as a public or livery conveyance, including any use of the vehicle in conjunction with any transportation network applications or companies (TNC) or as they are sometimes also known as rideshare applications or companies, pertaining exclusively to the transportation of individuals for a fee?' must be Yes.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 4/27/2023 - Remove for OH-FR - UW question doesn't exist SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error   ,"If the answer to the Underwriting Question 'Is any vehicle used as a public or livery conveyance pertaining to any form of livery including but not limited to products, documents, newspapers, or food?' = Yes and at least one vehicle doesn't have Individual Delivery Coverage.","If  'Is any vehicle used as a public or livery conveyance pertaining to any form of livery including but not limited to products, documents, newspapers, or food?' is Yes, at least one vehicle must include Delivery coverage.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 4/27/2023 - Remove for OH-FR - UW question doesn't exist SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error   ,"If the answer to the Underwriting Question 'Is any vehicle used as a public or livery conveyance pertaining to any forms of livery including but not limited to products, documents, newspapers, or food?' = Yes and at least one vehicle doesn't have Delivery Coverage.","If  'Is any vehicle used as a public or livery conveyance pertaining to any forms of livery including but not limited to products, documents, newspapers, or food?' is Yes, at least one vehicle must include Delivery coverage.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,
PRIS,NSPA,X,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error,"If the answer to the Underwriting Question 'Is any vehicle used as a public or livery conveyance pertaining to any form of livery including but not limited to products, documents, newspapers, or food?' = No and at least one vehicle HAS Delivery Endorsement.","If Delivery Coverage is included, the answer to 'Is any vehicle used as a public or livery conveyance pertaining to any form of livery including but not limited to products, documents, newspapers, or food?' must be Yes.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,"JAO 4/27/2023 - Remove for OH-FR - UW question doesn't exist SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Validation,Error,"If the answer to the Underwriting Question 'Is any vehicle used as a public or livery conveyance pertaining to any forms of livery including but not limited to products, documents, newspapers, or food?' = No and at least one vehicle HAS Delivery Endorsement.","If Delivery Coverage is included, the answer to 'Is any vehicle used as a public or livery conveyance pertaining to any forms of livery including but not limited to products, documents, newspapers, or food?' must be Yes.","Quote, Application, Endorsement, Renewal Start, Renewal Change",,
PRIS,NSPA,X,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error   ,"If the answer to the Underwriting Question 'If “Yes”, are you also applying for the TNC Endorsement?' = Yes and at least one vehicle doesn't have Transportation Network Company Endorsement.","If 'If “Yes”, are you also applying for the TNC Endorsement?' is Yes, at least one vehicle must include TNC coverage.","Quote, Application - 
New Business, Rewrite-New, Endorsement, Renewal Start, Renewal Changes, Rewrite-Renewal
",,"JAO 4/27/2023 - Remove for OH-FR - UW question doesn't exist SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771
"
PRIS,NSPA,X,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error   ,"If the answer to the Underwriting Question 'If “Yes”, are you also applying for the TNC Endorsement?' = No and at least one vehicle HAS Transportation Network Company Endorsement.","If TNC Coverage is included, the answer to 'If “Yes”, are you also applying for the TNC Endorsement?' must be Yes.","Quote, Application - 
New Business, Rewrite-New, Endorsement, Renewal Start, Renewal Changes, Rewrite-Renewal
",,"JAO 4/27/2023 - Remove for OH-FR - UW question doesn't exist SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error   ,"If the answer to the Underwriting Question 'If “Yes”, are you also applying for the Individual Delivery Coverage Endorsement?' = Yes and at least one vehicle doesn't have Individual Delivery Endorsement.","If 'If “Yes”, are you also applying for the Individual Delivery Coverage Endorsement?' is Yes, at least one vehicle must include Individual Delivery Coverage.","Quote, Application - 
New Business, Rewrite-New, Endorsement, Renewal Start, Renewal Changes, Rewrite-Renewal
",,"JAO 4/27/2023 - Remove for OH-FR - UW question doesn't exist SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,Validation,Error   ,"If the answer to the Underwriting Question 'If “Yes”, are you also applying for the Individual Delivery Coverage Endorsement?' = No and at least one vehicle HAS Individual Delivery Endorsement.","If Delivery Coverage is included, the answer to 'If “Yes”, are you also applying for the Individual Delivery Coverage Endorsement?' must be Yes.","Quote, Application - 
New Business, Rewrite-New, Endorsement, Renewal Start, Renewal Changes, Rewrite-Renewal
",,"JAO 4/27/2023 - Remove for OH-FR - UW question doesn't exist SJS 5.23.23 PRISUAT-1584
LE 11/21/2023- remove for AZ PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622
LE 6/11/2025- Removed TN GW-3771"
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error   ,"If UW Question <LiveryVehicle> = YES, and
1+ Vehicle doesn't include Transportation Network Company Endorsement, trigger error","If the primary TNC Question is Yes, at least one vehicle must include TNC Coverage.","Quote, Application - 
New Business, Rewrite-New, Endorsement, Renewal Start, Renewal Changes, Rewrite-Renewal
",,"JAO 7/18/2023 - Add for MO Maverick and future states to use UW Question Name/Description as Rule to Enact instead of full UW Question
SJS 9.8.23 PRISUAT-1783
LE 11/21/2023-AZ requirements PRISUAT-1834
JAO 2/15/2024 - AZ Changed to NO; Question is now a Vehicle/Risk Question - PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622"
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error   ,"If UW Question <LiveryVehicle> = NO, and
1+ Vehicle includes Transportation Network Company Endorsement, trigger error","If the primary TNC Question is No, TNC Coverage cannot be included for any vehicle(s).","Quote, Application - 
New Business, Rewrite-New, Endorsement, Renewal Start, Renewal Changes, Rewrite-Renewal
",,"JAO 7/18/2023 - Add for MO Maverick and future states to use UW Question Name/Description as Rule to Enact instead of full UW Question
SJS 9.8.23 PRISUAT-1783
LE 11/21/2023-AZ requirements PRISUAT-1834
JAO 2/15/2024 - AZ Changed to NO; Question is now a Vehicle/Risk Question - PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622"
PRIS,NSPA,X,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,Validation,Error   ,"If UW Question <LiveryVehicleDesc> = YES, and
1+ Vehicle doesn't include Transportation Network Company Endorsement, trigger error","If the secondary TNC Question is Yes, at least one vehicle must include TNC Coverage. ","Quote, Application - 
New Business, Rewrite-New, Endorsement, Renewal Start, Renewal Changes, Rewrite-Renewal
",,"JAO 7/18/2023 - Add for MO Maverick and future states to use UW Question Name/Description as Rule to Enact instead of full UW Question
SJS 9.8.23 PRISUAT-1783
LE 11/21/2023-AZ requirements PRISUAT-1834
JAO 2/15/2024 - AZ Changed to NO; Question is now a Vehicle/Risk Question - PRISUAT-1834
LE 9/09/2024- Remove for WV GW-1622"
